"Station.No","Location","Date","Hour","API","Pollutant"
19,"Kg. Air Putih, Taiping",2013-08-07,15,22,"c"
19,"Kg. Air Putih, Taiping",2013-08-07,16,28,"c"
19,"Kg. Air Putih, Taiping",2013-08-07,17,33,"c"
19,"Kg. Air Putih, Taiping",2013-08-07,18,34,"c"
19,"Kg. Air Putih, Taiping",2013-08-07,19,22,"c"
19,"Kg. Air Putih, Taiping",2013-08-07,20,21,"c"
19,"Kg. Air Putih, Taiping",2013-08-07,21,15,"*"
19,"Kg. Air Putih, Taiping",2013-08-07,22,15,"*"
19,"Kg. Air Putih, Taiping",2013-08-07,23,16,"*"
19,"Kg. Air Putih, Taiping",2013-08-07,24,18,"*"
19,"Kg. Air Putih, Taiping",2013-08-08,1,21,"*"
19,"Kg. Air Putih, Taiping",2013-08-08,2,25,"*"
19,"Kg. Air Putih, Taiping",2013-08-08,3,28,"*"
19,"Kg. Air Putih, Taiping",2013-08-08,4,31,"*"
19,"Kg. Air Putih, Taiping",2013-08-08,5,33,"*"
19,"Kg. Air Putih, Taiping",2013-08-08,6,33,"*"
19,"Kg. Air Putih, Taiping",2013-08-08,7,34,"*"
19,"Kg. Air Putih, Taiping",2013-08-08,8,36,"*"
19,"Kg. Air Putih, Taiping",2013-08-08,9,37,"*"
19,"Kg. Air Putih, Taiping",2013-08-08,10,37,"*"
19,"Kg. Air Putih, Taiping",2013-08-08,11,38,"*"
19,"Kg. Air Putih, Taiping",2013-08-08,12,41,"*"
19,"Kg. Air Putih, Taiping",2013-08-08,13,43,"*"
19,"Kg. Air Putih, Taiping",2013-08-08,14,42,"*"
19,"Kg. Air Putih, Taiping",2013-08-08,15,41,"*"
19,"Kg. Air Putih, Taiping",2013-08-08,16,41,"*"
19,"Kg. Air Putih, Taiping",2013-08-08,17,41,"*"
19,"Kg. Air Putih, Taiping",2013-08-08,18,41,"*"
19,"Kg. Air Putih, Taiping",2013-08-08,19,42,"*"
19,"Kg. Air Putih, Taiping",2013-08-08,20,43,"*"
19,"Kg. Air Putih, Taiping",2013-08-08,21,44,"*"
19,"Kg. Air Putih, Taiping",2013-08-08,22,44,"*"
19,"Kg. Air Putih, Taiping",2013-08-08,23,43,"*"
19,"Kg. Air Putih, Taiping",2013-08-08,24,41,"*"
19,"Kg. Air Putih, Taiping",2013-08-09,1,39,"*"
19,"Kg. Air Putih, Taiping",2013-08-09,2,36,"*"
19,"Kg. Air Putih, Taiping",2013-08-09,3,34,"*"
19,"Kg. Air Putih, Taiping",2013-08-09,4,31,"*"
19,"Kg. Air Putih, Taiping",2013-08-09,5,30,"*"
19,"Kg. Air Putih, Taiping",2013-08-09,6,28,"*"
19,"Kg. Air Putih, Taiping",2013-08-09,7,27,"*"
19,"Kg. Air Putih, Taiping",2013-08-09,8,27,"*"
19,"Kg. Air Putih, Taiping",2013-08-09,9,26,"*"
19,"Kg. Air Putih, Taiping",2013-08-09,10,26,"*"
19,"Kg. Air Putih, Taiping",2013-08-09,11,26,"*"
19,"Kg. Air Putih, Taiping",2013-08-09,12,22,"*"
19,"Kg. Air Putih, Taiping",2013-08-09,13,21,"*"
19,"Kg. Air Putih, Taiping",2013-08-09,14,28,"c"
19,"Kg. Air Putih, Taiping",2013-08-09,15,29,"c"
19,"Kg. Air Putih, Taiping",2013-08-09,16,29,"c"
19,"Kg. Air Putih, Taiping",2013-08-09,17,32,"c"
19,"Kg. Air Putih, Taiping",2013-08-09,18,33,"c"
19,"Kg. Air Putih, Taiping",2013-08-09,19,26,"c"
19,"Kg. Air Putih, Taiping",2013-08-09,20,18,"*"
19,"Kg. Air Putih, Taiping",2013-08-09,21,18,"*"
19,"Kg. Air Putih, Taiping",2013-08-09,22,19,"*"
19,"Kg. Air Putih, Taiping",2013-08-09,23,20,"*"
19,"Kg. Air Putih, Taiping",2013-08-09,24,20,"*"
19,"Kg. Air Putih, Taiping",2013-08-10,1,20,"*"
19,"Kg. Air Putih, Taiping",2013-08-10,2,20,"*"
19,"Kg. Air Putih, Taiping",2013-08-10,3,20,"*"
19,"Kg. Air Putih, Taiping",2013-08-10,4,21,"*"
19,"Kg. Air Putih, Taiping",2013-08-10,5,23,"*"
19,"Kg. Air Putih, Taiping",2013-08-10,6,23,"*"
19,"Kg. Air Putih, Taiping",2013-08-10,7,24,"*"
19,"Kg. Air Putih, Taiping",2013-08-10,8,24,"*"
19,"Kg. Air Putih, Taiping",2013-08-10,9,25,"*"
19,"Kg. Air Putih, Taiping",2013-08-10,10,25,"*"
19,"Kg. Air Putih, Taiping",2013-08-10,11,25,"*"
19,"Kg. Air Putih, Taiping",2013-08-10,12,30,"c"
19,"Kg. Air Putih, Taiping",2013-08-10,13,36,"c"
19,"Kg. Air Putih, Taiping",2013-08-10,14,38,"c"
19,"Kg. Air Putih, Taiping",2013-08-10,15,29,"c"
19,"Kg. Air Putih, Taiping",2013-08-10,16,28,"*"
19,"Kg. Air Putih, Taiping",2013-08-10,17,34,"c"
19,"Kg. Air Putih, Taiping",2013-08-10,18,35,"c"
19,"Kg. Air Putih, Taiping",2013-08-10,19,29,"*"
19,"Kg. Air Putih, Taiping",2013-08-10,20,30,"*"
19,"Kg. Air Putih, Taiping",2013-08-10,21,29,"*"
19,"Kg. Air Putih, Taiping",2013-08-10,22,29,"*"
19,"Kg. Air Putih, Taiping",2013-08-10,23,29,"*"
19,"Kg. Air Putih, Taiping",2013-08-10,24,29,"*"
19,"Kg. Air Putih, Taiping",2013-08-11,1,31,"*"
19,"Kg. Air Putih, Taiping",2013-08-11,2,32,"*"
19,"Kg. Air Putih, Taiping",2013-08-11,3,33,"*"
19,"Kg. Air Putih, Taiping",2013-08-11,4,32,"*"
19,"Kg. Air Putih, Taiping",2013-08-11,5,30,"*"
19,"Kg. Air Putih, Taiping",2013-08-11,6,30,"*"
19,"Kg. Air Putih, Taiping",2013-08-11,7,30,"*"
19,"Kg. Air Putih, Taiping",2013-08-11,8,29,"*"
19,"Kg. Air Putih, Taiping",2013-08-11,9,28,"*"
19,"Kg. Air Putih, Taiping",2013-08-11,10,28,"*"
19,"Kg. Air Putih, Taiping",2013-08-11,11,27,"*"
19,"Kg. Air Putih, Taiping",2013-08-11,12,27,"*"
19,"Kg. Air Putih, Taiping",2013-08-11,13,26,"*"
19,"Kg. Air Putih, Taiping",2013-08-11,14,25,"*"
19,"Kg. Air Putih, Taiping",2013-08-11,15,25,"*"
19,"Kg. Air Putih, Taiping",2013-08-11,16,25,"*"
19,"Kg. Air Putih, Taiping",2013-08-11,17,27,"*"
19,"Kg. Air Putih, Taiping",2013-08-11,18,27,"*"
19,"Kg. Air Putih, Taiping",2013-08-11,19,26,"*"
19,"Kg. Air Putih, Taiping",2013-08-11,20,25,"*"
19,"Kg. Air Putih, Taiping",2013-08-11,21,26,"*"
19,"Kg. Air Putih, Taiping",2013-08-11,22,26,"*"
19,"Kg. Air Putih, Taiping",2013-08-11,23,26,"*"
19,"Kg. Air Putih, Taiping",2013-08-11,24,25,"*"
19,"Kg. Air Putih, Taiping",2013-08-12,1,24,"*"
19,"Kg. Air Putih, Taiping",2013-08-12,2,22,"*"
19,"Kg. Air Putih, Taiping",2013-08-12,3,21,"*"
19,"Kg. Air Putih, Taiping",2013-08-12,4,21,"*"
19,"Kg. Air Putih, Taiping",2013-08-12,5,21,"*"
19,"Kg. Air Putih, Taiping",2013-08-12,6,21,"*"
19,"Kg. Air Putih, Taiping",2013-08-12,7,21,"*"
19,"Kg. Air Putih, Taiping",2013-08-12,8,21,"*"
19,"Kg. Air Putih, Taiping",2013-08-12,9,22,"*"
19,"Kg. Air Putih, Taiping",2013-08-12,10,22,"*"
19,"Kg. Air Putih, Taiping",2013-08-12,11,23,"*"
19,"Kg. Air Putih, Taiping",2013-08-12,12,23,"*"
19,"Kg. Air Putih, Taiping",2013-08-12,13,23,"*"
19,"Kg. Air Putih, Taiping",2013-08-12,14,22,"*"
19,"Kg. Air Putih, Taiping",2013-08-12,15,31,"c"
19,"Kg. Air Putih, Taiping",2013-08-12,16,36,"c"
19,"Kg. Air Putih, Taiping",2013-08-12,17,33,"c"
19,"Kg. Air Putih, Taiping",2013-08-12,18,27,"c"
19,"Kg. Air Putih, Taiping",2013-08-12,19,25,"*"
19,"Kg. Air Putih, Taiping",2013-08-12,20,26,"*"
19,"Kg. Air Putih, Taiping",2013-08-12,21,26,"*"
19,"Kg. Air Putih, Taiping",2013-08-12,22,26,"*"
19,"Kg. Air Putih, Taiping",2013-08-12,23,26,"*"
19,"Kg. Air Putih, Taiping",2013-08-12,24,27,"*"
19,"Kg. Air Putih, Taiping",2013-08-13,1,28,"*"
19,"Kg. Air Putih, Taiping",2013-08-13,2,28,"*"
19,"Kg. Air Putih, Taiping",2013-08-13,3,29,"*"
19,"Kg. Air Putih, Taiping",2013-08-13,4,30,"*"
19,"Kg. Air Putih, Taiping",2013-08-13,5,31,"*"
19,"Kg. Air Putih, Taiping",2013-08-13,6,31,"*"
19,"Kg. Air Putih, Taiping",2013-08-13,7,31,"*"
19,"Kg. Air Putih, Taiping",2013-08-13,8,30,"*"
19,"Kg. Air Putih, Taiping",2013-08-13,9,30,"*"
19,"Kg. Air Putih, Taiping",2013-08-13,10,29,"*"
19,"Kg. Air Putih, Taiping",2013-08-13,11,29,"*"
19,"Kg. Air Putih, Taiping",2013-08-13,12,30,"*"
19,"Kg. Air Putih, Taiping",2013-08-13,13,30,"*"
19,"Kg. Air Putih, Taiping",2013-08-13,14,35,"c"
19,"Kg. Air Putih, Taiping",2013-08-13,15,41,"c"
19,"Kg. Air Putih, Taiping",2013-08-13,16,40,"c"
19,"Kg. Air Putih, Taiping",2013-08-13,17,36,"c"
19,"Kg. Air Putih, Taiping",2013-08-13,18,37,"c"
19,"Kg. Air Putih, Taiping",2013-08-13,19,37,"c"
19,"Kg. Air Putih, Taiping",2013-08-13,20,30,"c"
19,"Kg. Air Putih, Taiping",2013-08-13,21,25,"*"
19,"Kg. Air Putih, Taiping",2013-08-13,22,26,"*"
19,"Kg. Air Putih, Taiping",2013-08-13,23,29,"*"
19,"Kg. Air Putih, Taiping",2013-08-13,24,28,"*"
19,"Kg. Air Putih, Taiping",2013-08-14,1,27,"*"
19,"Kg. Air Putih, Taiping",2013-08-14,2,27,"*"
19,"Kg. Air Putih, Taiping",2013-08-14,3,26,"*"
19,"Kg. Air Putih, Taiping",2013-08-14,4,25,"*"
19,"Kg. Air Putih, Taiping",2013-08-14,5,24,"*"
19,"Kg. Air Putih, Taiping",2013-08-14,6,24,"*"
19,"Kg. Air Putih, Taiping",2013-08-14,7,25,"*"
19,"Kg. Air Putih, Taiping",2013-08-14,8,25,"*"
19,"Kg. Air Putih, Taiping",2013-08-14,9,26,"*"
19,"Kg. Air Putih, Taiping",2013-08-14,10,28,"*"
19,"Kg. Air Putih, Taiping",2013-08-14,11,30,"c"
19,"Kg. Air Putih, Taiping",2013-08-14,12,48,"c"
19,"Kg. Air Putih, Taiping",2013-08-14,13,60,"c"
19,"Kg. Air Putih, Taiping",2013-08-14,14,51,"c"
19,"Kg. Air Putih, Taiping",2013-08-14,15,45,"c"
19,"Kg. Air Putih, Taiping",2013-08-14,16,45,"c"
19,"Kg. Air Putih, Taiping",2013-08-14,17,50,"c"
19,"Kg. Air Putih, Taiping",2013-08-14,18,61,"c"
19,"Kg. Air Putih, Taiping",2013-08-14,19,56,"c"
19,"Kg. Air Putih, Taiping",2013-08-14,20,45,"c"
19,"Kg. Air Putih, Taiping",2013-08-14,21,39,"*"
19,"Kg. Air Putih, Taiping",2013-08-14,22,40,"*"
19,"Kg. Air Putih, Taiping",2013-08-14,23,39,"*"
19,"Kg. Air Putih, Taiping",2013-08-14,24,40,"*"
19,"Kg. Air Putih, Taiping",2013-08-15,1,41,"*"
19,"Kg. Air Putih, Taiping",2013-08-15,2,41,"*"
19,"Kg. Air Putih, Taiping",2013-08-15,3,42,"*"
19,"Kg. Air Putih, Taiping",2013-08-15,4,43,"*"
19,"Kg. Air Putih, Taiping",2013-08-15,5,44,"*"
19,"Kg. Air Putih, Taiping",2013-08-15,6,44,"*"
19,"Kg. Air Putih, Taiping",2013-08-15,7,45,"*"
19,"Kg. Air Putih, Taiping",2013-08-15,8,45,"*"
19,"Kg. Air Putih, Taiping",2013-08-15,9,46,"*"
19,"Kg. Air Putih, Taiping",2013-08-15,10,46,"*"
19,"Kg. Air Putih, Taiping",2013-08-15,11,46,"*"
19,"Kg. Air Putih, Taiping",2013-08-15,12,45,"*"
19,"Kg. Air Putih, Taiping",2013-08-15,13,45,"*"
19,"Kg. Air Putih, Taiping",2013-08-15,14,45,"*"
19,"Kg. Air Putih, Taiping",2013-08-15,15,50,"*"
19,"Kg. Air Putih, Taiping",2013-08-15,16,52,"*"
19,"Kg. Air Putih, Taiping",2013-08-15,17,53,"*"
19,"Kg. Air Putih, Taiping",2013-08-15,18,55,"*"
19,"Kg. Air Putih, Taiping",2013-08-15,19,54,"*"
19,"Kg. Air Putih, Taiping",2013-08-15,20,54,"*"
19,"Kg. Air Putih, Taiping",2013-08-15,21,52,"*"
19,"Kg. Air Putih, Taiping",2013-08-15,22,52,"*"
19,"Kg. Air Putih, Taiping",2013-08-15,23,51,"*"
19,"Kg. Air Putih, Taiping",2013-08-15,24,50,"*"
19,"Kg. Air Putih, Taiping",2013-08-16,1,50,"*"
19,"Kg. Air Putih, Taiping",2013-08-16,2,49,"*"
19,"Kg. Air Putih, Taiping",2013-08-16,3,49,"*"
19,"Kg. Air Putih, Taiping",2013-08-16,4,48,"*"
19,"Kg. Air Putih, Taiping",2013-08-16,5,48,"*"
19,"Kg. Air Putih, Taiping",2013-08-16,6,48,"*"
19,"Kg. Air Putih, Taiping",2013-08-16,7,48,"*"
19,"Kg. Air Putih, Taiping",2013-08-16,8,49,"*"
19,"Kg. Air Putih, Taiping",2013-08-16,9,50,"*"
19,"Kg. Air Putih, Taiping",2013-08-16,10,49,"*"
19,"Kg. Air Putih, Taiping",2013-08-16,11,48,"*"
19,"Kg. Air Putih, Taiping",2013-08-16,12,48,"*"
19,"Kg. Air Putih, Taiping",2013-08-16,13,49,"*"
19,"Kg. Air Putih, Taiping",2013-08-16,14,48,"*"
19,"Kg. Air Putih, Taiping",2013-08-16,15,44,"*"
19,"Kg. Air Putih, Taiping",2013-08-16,16,39,"*"
19,"Kg. Air Putih, Taiping",2013-08-16,17,37,"*"
19,"Kg. Air Putih, Taiping",2013-08-16,18,35,"*"
19,"Kg. Air Putih, Taiping",2013-08-16,19,35,"*"
19,"Kg. Air Putih, Taiping",2013-08-16,20,38,"c"
19,"Kg. Air Putih, Taiping",2013-08-16,21,0,"0"
19,"Kg. Air Putih, Taiping",2013-08-16,22,40,"*"
19,"Kg. Air Putih, Taiping",2013-08-16,23,42,"*"
19,"Kg. Air Putih, Taiping",2013-08-16,24,43,"*"
19,"Kg. Air Putih, Taiping",2013-08-17,1,43,"*"
19,"Kg. Air Putih, Taiping",2013-08-17,2,44,"*"
19,"Kg. Air Putih, Taiping",2013-08-17,3,46,"*"
19,"Kg. Air Putih, Taiping",2013-08-17,4,47,"*"
19,"Kg. Air Putih, Taiping",2013-08-17,5,49,"*"
19,"Kg. Air Putih, Taiping",2013-08-17,6,50,"*"
19,"Kg. Air Putih, Taiping",2013-08-17,7,51,"*"
19,"Kg. Air Putih, Taiping",2013-08-17,8,51,"*"
19,"Kg. Air Putih, Taiping",2013-08-17,9,52,"*"
19,"Kg. Air Putih, Taiping",2013-08-17,10,52,"*"
19,"Kg. Air Putih, Taiping",2013-08-17,11,53,"*"
19,"Kg. Air Putih, Taiping",2013-08-17,12,53,"*"
19,"Kg. Air Putih, Taiping",2013-08-17,13,52,"*"
19,"Kg. Air Putih, Taiping",2013-08-17,14,52,"*"
19,"Kg. Air Putih, Taiping",2013-08-17,15,53,"*"
19,"Kg. Air Putih, Taiping",2013-08-17,16,53,"*"
19,"Kg. Air Putih, Taiping",2013-08-17,17,54,"*"
19,"Kg. Air Putih, Taiping",2013-08-17,18,54,"*"
19,"Kg. Air Putih, Taiping",2013-08-17,19,54,"*"
19,"Kg. Air Putih, Taiping",2013-08-17,20,54,"*"
19,"Kg. Air Putih, Taiping",2013-08-17,21,54,"*"
19,"Kg. Air Putih, Taiping",2013-08-17,22,53,"*"
19,"Kg. Air Putih, Taiping",2013-08-17,23,52,"*"
19,"Kg. Air Putih, Taiping",2013-08-17,24,52,"*"
19,"Kg. Air Putih, Taiping",2013-08-18,1,53,"*"
19,"Kg. Air Putih, Taiping",2013-08-18,2,53,"*"
19,"Kg. Air Putih, Taiping",2013-08-18,3,52,"*"
19,"Kg. Air Putih, Taiping",2013-08-18,4,52,"*"
19,"Kg. Air Putih, Taiping",2013-08-18,5,50,"*"
19,"Kg. Air Putih, Taiping",2013-08-18,6,49,"*"
19,"Kg. Air Putih, Taiping",2013-08-18,7,47,"*"
19,"Kg. Air Putih, Taiping",2013-08-18,8,43,"*"
19,"Kg. Air Putih, Taiping",2013-08-18,9,40,"*"
19,"Kg. Air Putih, Taiping",2013-08-18,10,38,"*"
19,"Kg. Air Putih, Taiping",2013-08-18,11,37,"*"
19,"Kg. Air Putih, Taiping",2013-08-18,12,36,"*"
19,"Kg. Air Putih, Taiping",2013-08-18,13,35,"*"
19,"Kg. Air Putih, Taiping",2013-08-18,14,43,"c"
